Unnamed: 0.1,Unnamed: 0,score_phrase,title,url,platform,score,genre,editors_choice,data_lancamento
0,0,Amazing,LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,PlayStation Vita,9.0,Platformer,Y,2012-09-12
1,1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,PlayStation Vita,9.0,Platformer,Y,2012-09-12
2,2,Great,Splice: Tree of Life,/games/splice/ipad-141070,iPad,8.5,Puzzle,N,2012-09-12
3,3,Great,NHL 13,/games/nhl-13/xbox-360-128182,Xbox 360,8.5,Sports,N,2012-09-11
4,4,Great,NHL 13,/games/nhl-13/ps3-128181,PlayStation 3,8.5,Sports,N,2012-09-11
5,5,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,Macintosh,7.0,Strategy,N,2012-09-11
6,6,Awful,Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,Xbox 360,3.0,Fighting,N,2012-09-11
7,7,Amazing,Guild Wars 2,/games/guild-wars-2/pc-896298,PC,9.0,RPG,Y,2012-09-11
8,8,Awful,Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,PlayStation 3,3.0,Fighting,N,2012-09-11
9,9,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,PC,7.0,Strategy,N,2012-09-11
10,10,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,Fighting,N,2012-09-11
11,11,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,Xbox 360,7.5,Fighting,N,2012-09-11
12,12,Good,Wild Blood,/games/wild-blood/iphone-139363,iPhone,7.0,,N,2012-09-10
13,13,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,Xbox 360,9.0,"Action, Adventure",Y,2012-09-07
14,14,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,PC,9.0,"Action, Adventure",Y,2012-09-07
15,15,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/mac-20014750,Macintosh,6.5,Adventure,N,2012-09-06
16,16,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/pc-137135,PC,6.5,Adventure,N,2012-09-06
17,17,Great,Avengers Initiative,/games/avengers-initiative/iphone-141579,iPhone,8.0,Action,N,2012-09-05
18,18,Mediocre,Way of the Samurai 4,/games/way-of-the-samurai-4/ps3-23516,PlayStation 3,5.5,"Action, Adventure",N,2012-09-03
19,19,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/xbox-360-137717,Xbox 360,7.0,Fighting,N,2012-09-03
20,20,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/ps3-137896,PlayStation 3,7.0,Fighting,N,2012-09-03
21,21,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/xbox-360-138918,Xbox 360,7.5,RPG,N,2012-08-31
22,22,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/ps3-138915,PlayStation 3,7.5,RPG,N,2012-08-31
23,23,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/pc-138919,PC,7.5,RPG,N,2012-08-31
24,24,Amazing,Dark Souls (Prepare to Die Edition),/games/dark-souls-prepare-to-die-edition/pc-131930,PC,9.0,"Action, RPG",Y,2012-08-31
25,25,Good,Symphony,/games/symphony/pc-136470,PC,7.0,Shooter,N,2012-08-30
26,26,Amazing,Bastion,/games/bastion/ipad-140874,iPad,9.0,"Action, RPG",Y,2012-08-30
27,27,Good,Tom Clancy's Ghost Recon Phantoms,/games/tom-clancys-ghost-recon-online/pc-109114,PC,7.5,Shooter,N,2012-08-29
28,28,Great,Thirty Flights of Loving,/games/thirty-flights-of-loving/pc-138374,PC,8.0,Adventure,N,2012-08-29
29,29,Okay,Legasista,/games/legasista/ps3-127147,PlayStation 3,6.5,"Action, RPG",N,2012-08-28
30,30,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/mac-135875,Macintosh,9.0,Adventure,Y,2012-08-28
31,31,Great,World of Warcraft: Mists of Pandaria,/games/world-of-warcraft-mists-of-pandaria/pc-114681,PC,8.7,RPG,Y,2012-10-04
32,32,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/ps3-129409,PlayStation 3,4.9,Platformer,N,2012-10-04
33,33,Amazing,Pokemon White Version 2,/games/pokemon-white-version-2/nds-129228,Nintendo DS,9.6,RPG,Y,2012-10-03
34,34,Good,War of the Roses,/games/war-of-the-roses-140577/pc-115849,PC,7.3,Action,N,2012-10-03
35,35,Amazing,Pokemon Black Version 2,/games/pokemon-black-version-2/nds-129224,Nintendo DS,9.6,RPG,Y,2012-10-03
36,36,Okay,Drakerider,/games/drakerider/iphone-135745,iPhone,6.5,RPG,N,2012-10-03
37,37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Xbox 360,9.0,Adventure,Y,2012-08-28
38,38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9.0,Adventure,Y,2012-08-28
39,39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9.0,Adventure,Y,2012-08-28
40,40,Great,Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Music,Y,2012-08-27
41,41,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8.0,Shooter,N,2012-08-27
42,42,Great,Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,Strategy,N,2012-10-02
43,43,Great,Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,Strategy,N,2012-10-02
44,44,Great,Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,Strategy,N,2012-10-02
45,45,Amazing,Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Action,Y,2012-10-01
46,46,Good,Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,"Action, Adventure",N,2012-10-01
47,47,Good,Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,"Action, Adventure",N,2012-10-01
48,48,Good,Shad'O,/games/shado/pc-141293,PC,7.0,Adventure,N,2012-09-28
49,49,Okay,Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,Action,N,2012-09-27
50,50,Amazing,NBA 2K13,/games/nba-2k13/xbox-360-132080,Xbox 360,9.1,Sports,Y,2012-09-27
51,51,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8.0,Shooter,N,2012-08-27
52,52,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,RPG,Y,2012-08-27
53,53,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/ps3-115453,PlayStation 3,8.0,Shooter,N,2012-08-27
54,54,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,RPG,Y,2012-08-27
55,55,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/xbox-360-115452,Xbox 360,8.0,Shooter,N,2012-08-27
56,56,Okay,Madden NFL 13,/games/madden-nfl-2013/vita-128100,PlayStation Vita,6.0,Sports,N,2012-08-24
57,57,Amazing,Madden NFL 13,/games/madden-nfl-2013/ps3-128098,PlayStation 3,9.0,Sports,Y,2012-08-24
58,58,Amazing,Madden NFL 13,/games/madden-nfl-2013/xbox-360-128097,Xbox 360,9.0,Sports,Y,2012-08-24
59,59,Painful,Hoodwink,/games/hoodwink/pc-136672,PC,2.5,Adventure,N,2012-08-23
60,60,Amazing,NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Sports,Y,2012-09-27
61,61,Amazing,NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Sports,Y,2012-09-27
62,62,Good,Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7.0,Adventure,N,2012-09-26
63,63,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012-09-26
64,64,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,PlayStation 3,8.2,Fighting,N,2012-09-26
65,65,Great,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,Fighting,N,2012-09-25
66,66,Great,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,Fighting,N,2012-09-25
67,67,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,PC,4.0,Shooter,N,2012-10-26
68,68,Great,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Adventure,Y,2012-10-26
69,69,Great,Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Action,Y,2012-10-26
70,70,Okay,Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,PC,6.0,Adventure,N,2012-10-26
71,71,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,PlayStation 3,4.0,Shooter,N,2012-10-26
72,72,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/xbox-360-101086,Xbox 360,4.0,Shooter,N,2012-10-26
73,73,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/xbox-360-92426,Xbox 360,8.5,Shooter,N,2012-08-21
74,74,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,PlayStation 3,8.5,Shooter,N,2012-08-21
75,75,Amazing,Hero Academy,/games/hero-academy-136971/pc-122908,PC,9.0,Board,Y,2012-08-20
76,76,Amazing,Hero Academy,/games/hero-academy-136971/iphone-122803,iPhone,9.0,Strategy,Y,2012-08-20
77,77,Amazing,Puzzle Craft,/games/puzzlecraft/iphone-134348,iPhone,9.0,Puzzle,Y,2012-08-17
78,78,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,Xbox 360,5.5,Action,N,2012-09-24
79,79,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,PlayStation 3,5.5,Action,N,2012-09-24
80,80,Great,Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,PlayStation 3,8.2,Action,N,2012-09-23
81,81,Good,Darksiders II,/games/darksiders-2/pc-91963,PC,7.5,Action,N,2012-08-17
82,82,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,Macintosh,7.0,Shooter,N,2012-08-17
83,83,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,PC,7.0,Shooter,N,2012-08-17
84,84,Amazing,Puzzle Craft,/games/puzzlecraft/android-134352,Android,9.0,Puzzle,Y,2012-08-17
85,85,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/xbox-360-140188,Xbox 360,7.0,Shooter,N,2012-08-17
86,86,Amazing,Horn,/games/horn/iphone-136814,iPhone,9.0,"Action, Adventure",Y,2012-08-16
87,87,Amazing,Forza Horizon,/games/forza-horizon/xbox-360-129564,Xbox 360,9.0,Racing,Y,2012-10-12
88,88,Bad,FIFA Soccer 13,/games/fifa-2013/vita-115689,PlayStation Vita,4.0,Sports,N,2012-10-12
89,89,Awful,Mugen Souls,/games/mugen-souls/ps3-120256,PlayStation 3,3.9,"Strategy, RPG",N,2012-10-12
90,90,Good,Crazy Taxi,/games/crazy-taxi/iphone-144755,iPhone,7.1,"Racing, Action",N,2012-10-11
91,91,Mediocre,New Little King's Story,/games/new-kings-story/vita-116369,PlayStation Vita,5.8,RPG,N,2012-10-11
92,92,Good,Fable: The Journey,/games/fable-the-journey/xbox-360-27948,Xbox 360,7.2,"Action, RPG",N,2012-10-09
93,93,Great,The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,PC,8.3,RPG,N,2012-10-26
94,94,Good,Doom 3: BFG Edition,/games/doom-3/xbox-360-135333,Xbox 360,7.6,RPG,N,2012-10-25
95,95,Okay,Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,Xbox 360,6.0,Sports,N,2012-10-25
96,96,Okay,Rugby League Live 2,/games/rugby-league-live-2/ps3-136984,PlayStation 3,6.0,Sports,N,2012-10-25
97,97,Good,Doom 3: BFG Edition,/games/doom-3/ps3-135329,PlayStation 3,7.6,RPG,N,2012-10-25
98,98,Amazing,Punch Quest,/games/punch-quest/iphone-136667,iPhone,9.3,Action,Y,2012-10-25
99,99,Okay,He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,iPhone,6.8,Action,N,2012-10-25
100,100,Good,Doom 3: BFG Edition,/games/doom-3/pc-135338,PC,7.6,RPG,N,2012-10-25
101,101,Great,Dokuro,/games/dokuro/vita-130906,PlayStation Vita,8.8,Puzzle,N,2012-10-19
102,102,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/xbox-360-135404,Xbox 360,2.3,Action,N,2012-10-18
103,103,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,PlayStation 3,2.3,Action,N,2012-10-18
104,104,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/ps3-145419,PlayStation 3,7.5,"Shooter, RPG",N,2012-10-18
105,105,Great,Skylanders Giants,/games/skylanders-giants/ps3-128142,PlayStation 3,8.0,"Action, Adventure",N,2012-10-18
106,106,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/pc-145418,PC,7.5,"Shooter, RPG",N,2012-10-18
107,107,Great,Rayman: Jungle Run,/games/rayman-jungle-run/iphone-141641,iPhone,8.8,Platformer,N,2012-09-20
108,108,Amazing,FIFA Soccer 13,/games/fifa-2013/pc-115688,PC,9.0,Sports,Y,2012-09-20
109,109,Amazing,FIFA Soccer 13,/games/fifa-2013/ps3-115679,PlayStation 3,9.0,Sports,Y,2012-09-20
110,110,Amazing,Torchlight II,/games/torchlight-ii/pc-82633,PC,9.1,"Action, RPG",Y,2012-09-20
111,111,Amazing,FIFA Soccer 13,/games/fifa-2013/xbox-360-115691,Xbox 360,9.0,Sports,Y,2012-09-20
112,112,Bad,The Sims 3: Supernatural,/games/the-sims-3-supernatural/pc-136180,PC,4.5,Simulation,N,2012-09-19
113,113,Good,Retro/Grade,/games/retrograde-138590/ps3-21766,PlayStation 3,7.0,,N,2012-08-15
114,114,Amazing,Iron Brigade,/games/iron-brigade/pc-121033,PC,9.0,Action,Y,2012-08-15
115,115,Okay,Cafeteria Nipponica,/games/cafeteria-nipponica/iphone-139633,iPhone,6.0,Simulation,N,2012-08-15
116,116,Great,Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,Xbox 360,8.5,Action,N,2012-08-14
117,117,Great,Sleeping Dogs,/games/sleeping-dogs/ps3-55068,PlayStation 3,8.5,Action,N,2012-08-14
118,118,Good,Darksiders II,/games/darksiders-2/ps3-14336767,PlayStation 3,7.5,Action,N,2012-08-14
119,119,Bad,Papo & Yo,/games/papo-and-yo/ps3-110267,PlayStation 3,4.0,Adventure,N,2012-08-14
120,120,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,PC,7.5,Adventure,N,2012-10-09
121,121,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ipad-135882,iPad,7.5,Adventure,N,2012-10-09
122,122,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ps3-135880,PlayStation 3,7.5,Adventure,N,2012-10-09
123,123,Mediocre,Cortex Command,/games/cortex-command/pc-14333880,PC,5.0,"Action, Simulation",N,2012-10-09
124,124,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/xbox-360-135881,Xbox 360,7.5,Adventure,N,2012-10-09
125,125,Good,Derrick the Deathfin,/games/derrick-the-deathfin-133942/ps3-129921,PlayStation 3,7.4,Action,N,2012-10-09
126,126,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,Macintosh,7.5,Adventure,N,2012-10-09
127,127,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,Xbox 360,8.2,Strategy,N,2012-10-08
128,128,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,PC,8.2,Strategy,N,2012-10-08
129,129,Okay,Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,PlayStation Vita,6.0,Adventure,N,2012-10-24
130,130,Good,Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,PC,7.4,"Flight, Action",N,2012-10-24
131,131,Okay,Pocket Clothier,/games/pocket-clothier/iphone-145621,iPhone,6.6,Strategy,N,2012-10-24
132,132,Okay,Pocket Clothier,/games/pocket-clothier/android-145958,Android,6.6,Strategy,N,2012-10-24
133,133,Okay,Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,Shooter,N,2012-10-23
134,134,Okay,True Skate,/games/true-skate/iphone-145482,iPhone,6.7,Sports,N,2012-10-23
135,135,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Adventure,Y,2012-10-23
136,136,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,PlayStation Vita,9.5,Adventure,Y,2012-10-23
137,137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9.0,Adventure,Y,2012-10-22
138,138,Great,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8.0,"Action, Adventure",N,2012-10-18
139,139,Great,Skylanders Giants,/games/skylanders-giants/wii-128141,Wii,8.0,"Action, Adventure",N,2012-10-18
140,140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,"Shooter, RPG",N,2012-10-18
141,141,Great,Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,Strategy,N,2012-10-17
142,142,Great,Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,Strategy,N,2012-10-17
143,143,Okay,Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,"Action, RPG",N,2012-10-17
144,144,Great,SunFlowers,/games/sun-flowers-134128/vita-132435,PlayStation Vita,8.0,Puzzle,N,2012-10-17
145,145,Bad,007 Legends,/games/007-legends/xbox-360-132394,Xbox 360,4.5,Action,N,2012-10-16
146,146,Amazing,Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9.0,Action,N,2012-09-19
147,147,Great,Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8.0,Adventure,N,2012-09-18
148,148,Great,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8.0,RPG,N,2012-09-18
149,149,Great,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,Platformer,N,2012-09-18
150,150,Good,Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,Action,N,2012-09-17
151,151,Good,Jet Set Radio,/games/jet-set-radio/ps3-129168,PlayStation 3,7.5,Action,N,2012-09-17
152,152,Good,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,Action,N,2012-09-17
153,153,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Sports,Y,2012-09-17
154,154,Amazing,F1 2012,/games/f1-2012/pc-130383,PC,9.0,Racing,Y,2012-09-17
155,155,Good,Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,Action,N,2012-08-14
